Player,Season,Google Trends Score
Anthony Edwards,2019-2020,0.5454545454545454
Anthony Edwards,2020-2021,2.75
Anthony Edwards,2021-2022,3.3846153846153846
Anthony Edwards,2022-2023,3.6923076923076925
Anthony Edwards,2023-2024,14.49056603773585
Anthony Edwards,2024-2025,14.785714285714286
Devin Booker,2019-2020,4.090909090909091
Devin Booker,2020-2021,12.326923076923077
Devin Booker,2021-2022,16.03846153846154
Devin Booker,2022-2023,10.01923076923077
Devin Booker,2023-2024,8.79245283018868
Devin Booker,2024-2025,8.142857142857142
Giannis Antetokounmpo,2019-2020,3.5454545454545454
Giannis Antetokounmpo,2020-2021,6.884615384615385
Giannis Antetokounmpo,2021-2022,9.0
Giannis Antetokounmpo,2022-2023,7.5576923076923075
Giannis Antetokounmpo,2023-2024,5.528301886792453
Giannis Antetokounmpo,2024-2025,4.857142857142857
Ja Morant,2019-2020,2.090909090909091
Ja Morant,2020-2021,3.3076923076923075
Ja Morant,2021-2022,9.01923076923077
Ja Morant,2022-2023,17.615384615384617
Ja Morant,2023-2024,7.037735849056604
Ja Morant,2024-2025,7.619047619047619
Jalen Brunson,2019-2020,0.5
Jalen Brunson,2020-2021,0.75
Jalen Brunson,2021-2022,4.028846153846154
Jalen Brunson,2022-2023,6.903846153846154
Jalen Brunson,2023-2024,15.0
Jalen Brunson,2024-2025,10.452380952380953
James Harden,2019-2020,4.090909090909091
James Harden,2020-2021,13.038461538461538
James Harden,2021-2022,8.307692307692308
James Harden,2022-2023,6.211538461538462
James Harden,2023-2024,7.018867924528302
James Harden,2024-2025,5.714285714285714
Jayson Tatum,2019-2020,2.909090909090909
Jayson Tatum,2020-2021,8.153846153846153
Jayson Tatum,2021-2022,13.01923076923077
Jayson Tatum,2022-2023,16.0
Jayson Tatum,2023-2024,17.71698113207547
Jayson Tatum,2024-2025,17.666666666666668
Joel Embiid,2019-2020,2.0
Joel Embiid,2020-2021,9.461538461538462
Joel Embiid,2021-2022,11.634615384615385
Joel Embiid,2022-2023,13.25
Joel Embiid,2023-2024,14.09433962264151
Joel Embiid,2024-2025,12.071428571428571
Kevin Durant,2019-2020,8.727272727272727
Kevin Durant,2020-2021,14.384615384615385
Kevin Durant,2021-2022,16.03846153846154
Kevin Durant,2022-2023,18.903846153846153
Kevin Durant,2023-2024,10.69811320754717
Kevin Durant,2024-2025,14.166666666666666
Kyrie Irving,2019-2020,4.7272727272727275
Kyrie Irving,2020-2021,8.596153846153847
Kyrie Irving,2021-2022,10.192307692307692
Kyrie Irving,2022-2023,13.75
Kyrie Irving,2023-2024,9.377358490566039
Kyrie Irving,2024-2025,7.214285714285714
LeBron James,2019-2020,15.818181818181818
LeBron James,2020-2021,19.865384615384617
LeBron James,2021-2022,19.192307692307693
LeBron James,2022-2023,21.51923076923077
LeBron James,2023-2024,18.18867924528302
LeBron James,2024-2025,25.166666666666668
Luka Doncic,2019-2020,1.0
Luka Doncic,2020-2021,2.8846153846153846
Luka Doncic,2021-2022,3.1153846153846154
Luka Doncic,2022-2023,3.3461538461538463
Luka Doncic,2023-2024,4.471698113207547
Luka Doncic,2024-2025,6.785714285714286
Stephan Curry,2019-2020,9.0
Stephan Curry,2020-2021,13.711538461538462
Stephan Curry,2021-2022,22.057692307692307
Stephan Curry,2022-2023,18.23076923076923
Stephan Curry,2023-2024,15.716981132075471
Stephan Curry,2024-2025,20.476190476190474
Victor Wembanyama,2019-2020,0.18181818181818182
Victor Wembanyama,2020-2021,0.5865384615384616
Victor Wembanyama,2021-2022,0.9230769230769231
Victor Wembanyama,2022-2023,11.788461538461538
Victor Wembanyama,2023-2024,26.264150943396228
Victor Wembanyama,2024-2025,23.047619047619047
