Season,player_name,Jersey Rank,Points/Game,Games Played,Minutes/Game,Award Count,Google Trends Score,player_height,player_weight,length,BMI
2020-2021,Anthony Edwards,,19.3,72,32.1,1,2.75,,,,
2020-2021,Jalen Brunson,,12.6,68,25.0,1,0.75,190.5,86.18248,190.5,23.74810865177286
2020-2021,Devin Booker,6.0,25.6,67,33.9,1,12.326923076923077,198.12,93.439952,198.12,23.805426572062874
2020-2021,Jayson Tatum,5.0,26.4,64,35.8,1,8.153846153846153,203.2,92.98636,203.2,22.520179102858204
2020-2021,Ja Morant,,19.1,63,32.6,0,3.3076923076923075,190.5,78.92500799999999,190.5,21.748267923202512
2020-2021,Stephen Curry,7.0,32.0,63,34.2,3,,190.5,83.91452,190.5,23.123158424094626
2020-2021,Giannis Antetokounmpo,2.0,28.1,61,33.0,5,6.884615384615385,205.74,92.98636,205.74,21.96755772874448
2020-2021,Joel Embiid,,28.5,51,31.1,5,9.461538461538462,213.36,113.398,213.36,24.910324763960183
2020-2021,LeBron James,1.0,25.0,45,33.4,3,19.865384615384617,203.2,108.86208,203.2,26.36508773017546
2021-2022,James Harden,2.0,22.25,109,37.1,1,8.307692307692308,195.58,99.79024,195.58,26.087903752801935
2021-2022,Jalen Brunson,,16.3,79,31.9,0,4.028846153846154,190.5,86.18248,190.5,23.74810865177286
2021-2022,Jayson Tatum,5.0,26.9,76,35.9,3,13.01923076923077,203.2,92.98636,203.2,22.520179102858204
2021-2022,Anthony Edwards,,21.3,72,34.3,0,3.3846153846153846,,,,
2021-2022,Devin Booker,,26.8,68,34.5,3,16.03846153846154,198.12,93.439952,198.12,23.805426572062874
2021-2022,Joel Embiid,6.0,30.6,68,33.8,3,11.634615384615383,213.36,113.398,213.36,24.910324763960183
2021-2022,Giannis Antetokounmpo,7.0,29.9,67,32.9,5,9.0,205.74,92.98636,205.74,21.96755772874448
2021-2022,Stephen Curry,3.0,25.5,64,34.5,3,,190.5,83.91452,190.5,23.123158424094626
2021-2022,Ja Morant,,27.4,57,33.1,4,9.01923076923077,190.5,78.92500799999999,190.5,21.748267923202512
2021-2022,LeBron James,1.0,30.3,56,37.2,3,19.192307692307693,203.2,108.86208,203.2,26.36508773017546
2022-2023,Kyrie Irving,,27.066666666666663,120,37.53333333333333,2,13.75,190.5,86.636072,190.5,23.873098697308507
2022-2023,Kevin Durant,6.0,28.266666666666666,94,35.06666666666667,1,18.903846153846153,205.74,97.52228,205.74,23.039145910634453
2022-2023,Anthony Edwards,,24.6,79,36.0,1,3.692307692307693,,,,
2022-2023,Jayson Tatum,3.0,30.1,74,36.9,4,16.0,203.2,92.98636,203.2,22.520179102858204
2022-2023,Jalen Brunson,,24.0,68,35.0,2,6.903846153846154,190.5,86.18248,190.5,23.74810865177286
2022-2023,Joel Embiid,,33.1,66,34.6,5,13.25,213.36,113.398,213.36,24.910324763960183
2022-2023,Luka Doncic,5.0,32.4,66,36.2,4,3.3461538461538463,200.66,98.883056,200.66,24.558411046000103
2022-2023,Giannis Antetokounmpo,4.0,31.1,63,32.1,4,7.5576923076923075,205.74,92.98636,205.74,21.96755772874448
2022-2023,Ja Morant,8.0,26.2,61,31.9,2,17.615384615384617,190.5,78.92500799999999,190.5,21.748267923202512
2022-2023,James Harden,,21.0,58,36.8,0,6.211538461538462,195.58,99.79024,195.58,26.087903752801935
2022-2023,Stephen Curry,2.0,29.4,56,34.7,4,,190.5,83.91452,190.5,23.123158424094626
2022-2023,LeBron James,1.0,28.9,55,35.5,2,21.51923076923077,203.2,108.86208,203.2,26.36508773017546
2022-2023,Devin Booker,7.0,27.8,53,34.6,0,10.01923076923077,198.12,93.439952,198.12,23.805426572062874
2023-2024,Anthony Edwards,,25.9,79,35.1,4,14.49056603773585,,,,
2023-2024,Jalen Brunson,,28.7,77,35.4,4,15.0,190.5,86.18248,190.5,23.74810865177286
2023-2024,Kevin Durant,8.0,27.1,75,37.2,3,10.69811320754717,205.74,97.52228,205.74,23.039145910634453
2023-2024,Jayson Tatum,2.0,26.9,74,35.7,4,17.71698113207547,203.2,92.98636,203.2,22.520179102858204
2023-2024,Stephen Curry,1.0,26.4,74,32.7,3,,190.5,83.91452,190.5,23.123158424094626
2023-2024,Giannis Antetokounmpo,5.0,30.4,73,35.2,5,5.528301886792453,205.74,92.98636,205.74,21.96755772874448
2023-2024,James Harden,,16.6,72,34.3,0,7.018867924528302,195.58,99.79024,195.58,26.087903752801935
2023-2024,LeBron James,3.0,25.7,71,35.3,3,18.18867924528302,203.2,108.86208,203.2,26.36508773017546
2023-2024,Victor Wembanyama,4.0,21.4,71,29.7,3,26.264150943396228,221.0,107.0,221.0,21.907823345140354
2023-2024,Luka Doncic,6.0,33.9,70,37.5,4,4.471698113207547,200.66,98.883056,200.66,24.558411046000103
2023-2024,Devin Booker,7.0,27.1,68,36.0,2,8.79245283018868,198.12,93.439952,198.12,23.805426572062874
2023-2024,Kyrie Irving,,25.6,58,35.0,1,9.37735849056604,190.5,86.636072,190.5,23.873098697308507
2023-2024,Joel Embiid,,34.7,39,33.6,1,14.09433962264151,213.36,113.398,213.36,24.910324763960183
2023-2024,Ja Morant,,25.1,9,35.3,0,7.037735849056604,190.5,78.92500799999999,190.5,21.748267923202512
2024-2025,Luka Doncic,1.0,28.166666666666668,100,35.4,0,6.785714285714286,200.66,98.883056,200.66,24.558411046000103
2024-2025,Anthony Edwards,7.0,27.6,79,36.3,0,14.785714285714286,,,,
2024-2025,James Harden,,22.8,79,35.3,0,5.714285714285714,195.58,99.79024,195.58,26.087903752801935
2024-2025,Devin Booker,,25.6,75,37.3,0,8.142857142857142,198.12,93.439952,198.12,23.805426572062874
2024-2025,Jayson Tatum,4.0,26.8,72,36.4,0,17.666666666666668,203.2,92.98636,203.2,22.520179102858204
2024-2025,LeBron James,3.0,24.4,70,34.9,0,25.166666666666668,203.2,108.86208,203.2,26.36508773017546
2024-2025,Stephen Curry,2.0,24.5,70,32.2,0,,190.5,83.91452,190.5,23.123158424094626
2024-2025,Giannis Antetokounmpo,,30.4,67,34.2,0,4.857142857142857,205.74,92.98636,205.74,21.96755772874448
2024-2025,Jalen Brunson,5.0,26.0,65,35.4,0,10.452380952380953,190.5,86.18248,190.5,23.74810865177286
2024-2025,Kevin Durant,,26.6,62,36.5,0,14.166666666666666,205.74,97.52228,205.74,23.039145910634453
2024-2025,Ja Morant,8.0,23.2,50,30.4,0,7.619047619047619,190.5,78.92500799999999,190.5,21.748267923202512
2024-2025,Kyrie Irving,,24.7,50,36.1,0,7.214285714285714,190.5,86.636072,190.5,23.873098697308507
2024-2025,Victor Wembanyama,6.0,24.3,46,33.2,0,23.047619047619047,221.0,107.0,221.0,21.907823345140354
2024-2025,Joel Embiid,,23.8,19,30.2,0,12.071428571428571,213.36,113.398,213.36,24.910324763960183
