Player,Season,Games Played,Minutes/Game,Points/Game,Awards
Anthony Edwards,2020-21,72,32.1,19.3,ROY-2
Anthony Edwards,2021-22,72,34.3,21.3,No Awards
Anthony Edwards,2022-23,79,36.0,24.6,AS
Anthony Edwards,2023-24,79,35.1,25.9,"MVP-7,CPOY-8,AS,NBA2"
Anthony Edwards,2024-25,79,36.3,27.6,No Awards
Devin Booker,2020-21,67,33.9,25.6,AS
Devin Booker,2021-22,68,34.5,26.8,"MVP-4,AS,NBA1"
Devin Booker,2022-23,53,34.6,27.8,No Awards
Devin Booker,2023-24,68,36.0,27.1,"AS,NBA3"
Devin Booker,2024-25,75,37.3,25.6,No Awards
Giannis Antetokounmpo,2020-21,61,33.0,28.1,"MVP-4,DPOY-5,AS,NBA1,DEF1"
Giannis Antetokounmpo,2021-22,67,32.9,29.9,"MVP-3,DPOY-6,AS,NBA1,DEF1"
Giannis Antetokounmpo,2022-23,63,32.1,31.1,"MVP-3,DPOY-6,AS,NBA1"
Giannis Antetokounmpo,2023-24,73,35.2,30.4,"MVP-4,DPOY-9,CPOY-12,AS,NBA1"
Giannis Antetokounmpo,2024-25,67,34.2,30.4,No Awards
Ja Morant,2020-21,63,32.6,19.1,No Awards
Ja Morant,2021-22,57,33.1,27.4,"MVP-7,MIP-1,AS,NBA2"
Ja Morant,2022-23,61,31.9,26.2,"MVP-12,AS"
Ja Morant,2023-24,9,35.3,25.1,No Awards
Ja Morant,2024-25,50,30.4,23.2,No Awards
Jalen Brunson,2020-21,68,25.0,12.6,6MOY-4
Jalen Brunson,2021-22,79,31.9,16.3,No Awards
Jalen Brunson,2022-23,68,35.0,24.0,"MVP-12,CPOY-4"
Jalen Brunson,2023-24,77,35.4,28.7,"MVP-5,CPOY-5,AS,NBA2"
Jalen Brunson,2024-25,65,35.4,26.0,No Awards
James Harden,2021-22,65,37.2,22.0,AS
James Harden,2021-22,44,37.0,22.5,No Awards
James Harden,2022-23,58,36.8,21.0,No Awards
James Harden,2023-24,72,34.3,16.6,No Awards
James Harden,2024-25,79,35.3,22.8,No Awards
Jayson Tatum,2020-21,64,35.8,26.4,AS
Jayson Tatum,2021-22,76,35.9,26.9,"MVP-6,AS,NBA1"
Jayson Tatum,2022-23,74,36.9,30.1,"MVP-4,CPOY-10,AS,NBA1"
Jayson Tatum,2023-24,74,35.7,26.9,"MVP-6,CPOY-9,AS,NBA1"
Jayson Tatum,2024-25,72,36.4,26.8,No Awards
Joel Embiid,2020-21,51,31.1,28.5,"MVP-2,DPOY-7,AS,NBA2,DEF2"
Joel Embiid,2021-22,68,33.8,30.6,"MVP-2,AS,NBA2"
Joel Embiid,2022-23,66,34.6,33.1,"MVP-1,DPOY-9,CPOY-5,AS,NBA1"
Joel Embiid,2023-24,39,33.6,34.7,AS
Joel Embiid,2024-25,19,30.2,23.8,No Awards
Kevin Durant,2022-23,47,35.6,29.1,AS
Kevin Durant,2022-23,39,36.0,29.7,No Awards
Kevin Durant,2022-23,8,33.6,26.0,No Awards
Kevin Durant,2023-24,75,37.2,27.1,"MVP-9,AS,NBA2"
Kevin Durant,2024-25,62,36.5,26.6,No Awards
Kyrie Irving,2022-23,60,37.4,27.1,"CPOY-12,AS"
Kyrie Irving,2022-23,40,37.0,27.1,No Awards
Kyrie Irving,2022-23,20,38.2,27.0,No Awards
Kyrie Irving,2023-24,58,35.0,25.6,CPOY-7
Kyrie Irving,2024-25,50,36.1,24.7,No Awards
LeBron James,2020-21,45,33.4,25.0,"MVP-13,AS,NBA2"
LeBron James,2021-22,56,37.2,30.3,"MVP-10,AS,NBA3"
LeBron James,2022-23,55,35.5,28.9,"AS,NBA3"
LeBron James,2023-24,71,35.3,25.7,"CPOY-10,AS,NBA3"
LeBron James,2024-25,70,34.9,24.4,No Awards
Luka Doncic,2022-23,66,36.2,32.4,"MVP-8,CPOY-8,AS,NBA1"
Luka Doncic,2023-24,70,37.5,33.9,"MVP-3,CPOY-6,AS,NBA1"
Luka Doncic,2024-25,50,35.4,28.2,No Awards
Luka Doncic,2024-25,22,35.7,28.1,No Awards
Luka Doncic,2024-25,28,35.1,28.2,No Awards
Stephen Curry,2020-21,63,34.2,32.0,"MVP-3,AS,NBA1"
Stephen Curry,2021-22,64,34.5,25.5,"MVP-8,AS,NBA2"
Stephen Curry,2022-23,56,34.7,29.4,"MVP-9,CPOY-9,AS,NBA2"
Stephen Curry,2023-24,74,32.7,26.4,"CPOY-1,AS,NBA3"
Stephen Curry,2024-25,70,32.2,24.5,No Awards
Victor Wembanyama,2023-24,71,29.7,21.4,"ROY-1,DPOY-2,DEF1"
Victor Wembanyama,2024-25,46,33.2,24.3,No Awards
