Season,Player,Games Played,Minutes/Game,Points/Game,Award Count
2020-21,Anthony Edwards,72,32.1,19.3,1
2020-21,Jalen Brunson,68,25.0,12.6,1
2020-21,Devin Booker,67,33.9,25.6,1
2020-21,Jayson Tatum,64,35.8,26.4,1
2020-21,Ja Morant,63,32.6,19.1,0
2020-21,Stephen Curry,63,34.2,32.0,3
2020-21,Giannis Antetokounmpo,61,33.0,28.1,5
2020-21,Joel Embiid,51,31.1,28.5,5
2020-21,LeBron James,45,33.4,25.0,3
2021-22,James Harden,109,37.1,22.25,1
2021-22,Jalen Brunson,79,31.9,16.3,0
2021-22,Jayson Tatum,76,35.9,26.9,3
2021-22,Anthony Edwards,72,34.3,21.3,0
2021-22,Devin Booker,68,34.5,26.8,3
2021-22,Joel Embiid,68,33.8,30.6,3
2021-22,Giannis Antetokounmpo,67,32.9,29.9,5
2021-22,Stephen Curry,64,34.5,25.5,3
2021-22,Ja Morant,57,33.1,27.4,4
2021-22,LeBron James,56,37.2,30.3,3
2022-23,Kyrie Irving,120,37.53333333333333,27.066666666666666,2
2022-23,Kevin Durant,94,35.06666666666667,28.266666666666666,1
2022-23,Anthony Edwards,79,36.0,24.6,1
2022-23,Jayson Tatum,74,36.9,30.1,4
2022-23,Jalen Brunson,68,35.0,24.0,2
2022-23,Joel Embiid,66,34.6,33.1,5
2022-23,Luka Doncic,66,36.2,32.4,4
2022-23,Giannis Antetokounmpo,63,32.1,31.1,4
2022-23,Ja Morant,61,31.9,26.2,2
2022-23,James Harden,58,36.8,21.0,0
2022-23,Stephen Curry,56,34.7,29.4,4
2022-23,LeBron James,55,35.5,28.9,2
2022-23,Devin Booker,53,34.6,27.8,0
2023-24,Anthony Edwards,79,35.1,25.9,4
2023-24,Jalen Brunson,77,35.4,28.7,4
2023-24,Kevin Durant,75,37.2,27.1,3
2023-24,Jayson Tatum,74,35.7,26.9,4
2023-24,Stephen Curry,74,32.7,26.4,3
2023-24,Giannis Antetokounmpo,73,35.2,30.4,5
2023-24,James Harden,72,34.3,16.6,0
2023-24,LeBron James,71,35.3,25.7,3
2023-24,Victor Wembanyama,71,29.7,21.4,3
2023-24,Luka Doncic,70,37.5,33.9,4
2023-24,Devin Booker,68,36.0,27.1,2
2023-24,Kyrie Irving,58,35.0,25.6,1
2023-24,Joel Embiid,39,33.6,34.7,1
2023-24,Ja Morant,9,35.3,25.1,0
2024-25,Luka Doncic,100,35.4,28.166666666666668,0
2024-25,Anthony Edwards,79,36.3,27.6,0
2024-25,James Harden,79,35.3,22.8,0
2024-25,Devin Booker,75,37.3,25.6,0
2024-25,Jayson Tatum,72,36.4,26.8,0
2024-25,LeBron James,70,34.9,24.4,0
2024-25,Stephen Curry,70,32.2,24.5,0
2024-25,Giannis Antetokounmpo,67,34.2,30.4,0
2024-25,Jalen Brunson,65,35.4,26.0,0
2024-25,Kevin Durant,62,36.5,26.6,0
2024-25,Ja Morant,50,30.4,23.2,0
2024-25,Kyrie Irving,50,36.1,24.7,0
2024-25,Victor Wembanyama,46,33.2,24.3,0
2024-25,Joel Embiid,19,30.2,23.8,0
